Key,en,de,fr,it,hu,zh,ar
scanner_screen_decoding_error_title,"Invalid QR Code","Der QR-Code ist ungültig","Code QR invalide","Impossibile riconoscere il codice","Érvénytelen QR-kód","无效二维码","رمز الاستجابة السريعة غير صالح"
scanner_screen_decoding_error_description,"The scanned QR code is not recognized","Der gescannte QR-Code wurde nicht erkannt.","Le code QR scanné n'est pas reconnu.","Il codice QR letto non è stato riconosciuto.","A beolvasott QR-kód érvénytelen","无法识别所扫描的二维码","الرمز الشريطي الممسوح ضوئيًا غير معترف به"
authenticator_selection_screen_title,"Select an Authentication Method","Wählen Sie eine Authentifizierungsmethode","Sélectionnez une méthode d'authentification","Selezionare un metodo di autenticazione","Válasszon azonosítási módszert","选择身份验证方法","اختر طريقة المصادقة"
authenticator_selection_screen_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
pin_enrollment_screen_title,"Create PIN","PIN erstellen","Définir un PIN","Crea un PIN","PIN-kód létrehozása","创建识别码","أنشئ الرقم السري"
pin_enrollment_screen_format,"Define a six-digit PIN","Bitte wählen Sie eine sechsstellige PIN.","Veuillez définir un PIN de six chiffres.","Per favore fai in modo che il tuo PIN contenga solo numeri e abbia una lunghezza di sei cifre.","Adjon meg egy hatszámjegyű PIN-kódot","请创建6位识别码","حدد رقم سري مكون من ستة أرقام"
pin_enrollment_screen_new_pin_placeholder,"PIN","PIN","PIN","PIN","PIN-kód","密码","رقمدبوس"
pin_enrollment_screen_confirmation_pin_placeholder,"Confirm PIN","PIN bestätigen","Confirmez le PIN","Conferma il PIN","Megismételt PIN-kód","确认识别码","تأكيد الرقم السري"
pin_enrollment_screen_confirm,"Confirm","Bestätigen","Confirmer","Conferma","Megerősítés","确认","تأكيد"
pin_enrollment_screen_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
pin_enrollment_screen_error_unequal_pins,"PINs do not match","Die eingegebenen PINs stimmen nicht überein.","Les PIN ne correspondent pas","I PIN inseriti non sono uguali","A PIN-kódok nem egyeznek.","输入的识别码不一致","الأرقام السرية لا تتطابق"
pin_enrollment_screen_error_pin_format,"PIN must contain six digits","Falsches PIN Format. Die PIN muss sechsstellige sein","Mauvais format de PIN. Le PIN doit contenir six chiffres","Il formato del PIN è errato. Il PIN deve contenere 6 numeri","A PIN-kódnak hatszámjegyűnek kell lennie.","识别码格式错误。识别码必须为六位数字。","يجب أن يتضمن الرقم السري ستة أرقام"
pin_enrollment_screen_error_not_enough_different_digits,"Wrong PIN format. The PIN must contain at least %d different digits","Falsches PIN Format. Die PIN muss mindestens %d unterschiedliche Stellen enthalten","Mauvais format de PIN. Le code PIN doit contenir au moins %d chiffres différents","Il formato del PIN è errato. Il PIN deve contenere almeno %d cifre diverse","A PIN-kódnak legalább %d különböző számjegyet kell tartalmaznia.","错误的PIN格式。PIN码必须包含至少%d个不同的数字","تنسيق الرقم السري غير صحيح. يجب أن يحتوي الرقم السري على الأقل %d أرقام مختلفة"
pin_enrollment_screen_error_too_many_ascending_consecutive_numbers,"Wrong PIN format. The PIN cannot contain more than %d consecutive digits","Falsches PIN Format. Die PIN kann nicht mehr als %d aufeinanderfolgende Stellen enthalten","Mauvais format de PIN. Le code PIN ne peut pas contenir plus de %d chiffres consécutifs","Il formato del PIN è errato. Il PIN non può contenere più di %d cifre consecutive","A PIN-kód legfeljebb %d egymást követő számjegyet tartalmazhat.","错误的PIN格式。PIN码不能包含超过%d个连续的数字","تنسيق الرقم السري غير صحيح. لا يمكن أن يحتوي الرقم السري على أكثر من %d أرقام متتالية"
pin_enrollment_screen_error_too_many_descending_consecutive_numbers,"Wrong PIN format. The PIN cannot contain more than %d consecutive digits in descending order","Falsches PIN Format. Die PIN kann nicht mehr als %d aufeinanderfolgende Stellen in absteigender Reihenfolge enthalten","Mauvais format de PIN. Le code PIN ne peut pas contenir plus de %d chiffres consécutifs dans l'ordre décroissant","Il formato del PIN è errato. Il PIN non può contenere più di %d cifre consecutive in ordine decrescente","A PIN-kód legfeljebb %d egymást követő csökkenő számjegyet tartalmazhat.","错误的PIN格式。PIN码不能包含超过%d个降序连续的数字","تنسيق الرقم السري غير صحيح. لا يمكن أن يحتوي الرقم السري على أكثر من %d أرقام متتالية بترتيب تنازلي"
pin_verification_screen_title,"Verification","Verifizierung","Vérification","Verifica","Ellenőrzés","验证","التحقق"
pin_verification_screen_info,"Enter your PIN","Geben Sie Ihre PIN ein","Saisissez votre code PIN","Inserire il PIN","Írja be a PIN-kódját","输入密码","أدخل رقم التعريف الشخصي الخاص بك"
pin_verification_screen_confirm,"Confirm","Bestätigen","Confirmer","Conferma","Megerősítése","确认","تأكيد"
pin_verification_screen_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
pin_verification_screen_pin_change_title,"Verification","Verifizierung","Vérification","Verifica","Ellenőrzés","验证","التحقق"
pin_verification_screen_pin_change_info,"Current PIN","Aktuelle PIN","Code PIN actuel","PIN attuale","Jelenlegi PIN-kód","当前密码","الرقم السري الحالي"
pin_change_screen_title,"Change PIN","PIN ändern","Changer de PIN","Cambia il PIN","PIN-kód módosítása","更改识别码","تغيير الرقم السري"
pin_change_screen_format,"Set your 6 digit PIN","Stellen Sie Ihre 6-stellige PIN ein","Définissez votre code PIN à 6 chiffres","Impostare il PIN a 6 cifre","Adjon meg egy hatszámjegyű PIN-kódot","设置 6 位数密码","قم بتعيين رقم التعريف الشخصي المكون من 6 أرقام"
pin_change_screen_new_pin_placeholder,"New PIN","Neue PIN","Nouvelle PIN","Nuovo PIN","Új PIN-kód","新密码","رقم التعريف الشخصي الجديد"
pin_change_screen_confirm_new_pin_placeholder,"Confirm new PIN","Bestätigen Sie die neue PIN","Confirmer le nouveau code PIN","Confermare il nuovo PIN","Új PIN-kód megismételve","确认新的 PIN 码","تأكيد رقم التعريف الشخصي الجديد"
pin_change_screen_pin_old_and_new_pin_are_equal,"The new PIN must be different from the old one","Die neue und die alte PIN sind identisch","Le nouveau et l'ancien PIN sont les mêmes","Il nuovo e il vecchio PIN sono gli stessi","Az új PIN-kód nem egyezhet meg az előző PIN-kóddal.","新的和旧的PIN码相同。","يجب أن يكون الرقم السري الجديد مختلفًا عن القديم"
pin_change_screen_error_pin_not_saved,"Changes to PIN have not been saved","Die Änderungen an der PIN wurden nicht gespeichert","Les modifications du PIN n'ont pas été enregistrées","Le modifiche al PIN non sono state salvate","Az PIN-kód módosítása nem sikerült","PIN码的更改尚未保存。","لم يتم حفظ تغييرات الرقم السري"
pin_protection_status_description_previous_error_last_retry_without_cooldown,"An invalid PIN was previously provided. This is your last try.\nAfter that your PIN will be blocked.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch 1 Versuch übrig. Danach wird Ihre PIN gesperrt.","Un code PIN invalide a été fourni précédemment. Il vous reste 1 essai. Après cela, votre code PIN sera bloqué.","In precedenza è stato fornito un PIN non valido. Le rimane 1 tentativo.\nDopo di che il suo PIN sarà bloccato.","Hibás PIN-kódot adott meg. Egy további próbálkozása van.\nHa az sem sikerül, a rendszer blokkolni fogja a PIN-kódot.","之前提供的PIN码无效。你还有1次尝试的机会。\n之后，您的PIN码将被锁定。","تم تقديم رقم سري غير صالح مسبقًا. هذه هي المحاولة الأخيرة.\nبعد ذلك سيتم حظر الرقم السري."
pin_protection_status_description_last_retry_without_cooldown,"Invalid PIN. This is your last try.\nAfter that your PIN will be blocked.","Ungültige PIN. Sie haben noch 1 Versuch übrig. Danach wird Ihre PIN gesperrt.","PIN non valide. Il vous reste 1 essai. Après cela, votre code PIN sera bloqué.","PIN non valido. Le rimane 1 tentativo.\nDopo di che il suo PIN sarà bloccato.","Hibás PIN-kód. Egy további próbálkozása van.\nHa az sem sikerül, a rendszer blokkolni fogja a PIN-kódot.","无效识别码。您还可以尝试1次\n此后您的识别码将被锁定","رقم سري غير صالح. هذه هي المحاولة الأخيرة.\nبعد ذلك سيتم حظر الرقم السري."
settings_screen_title,"Settings","Einstellungen","Préférences","Impostazioni","Beállítások","设置","الإعدادات"
settings_screen_section_accounts_header,"Accounts","Konten","Comptes","Accounts","Fiókok","账户","الحسابات"
settings_screen_account_no_accounts,"No Accounts","Keine Konten definiert","Aucun compte défini","Nessun account definito","Nincsenek fiókok","未定义账户","لا توجد حسابات"
settings_screen_section_about_header,"About","Info","A propos","Informazioni","Névjegy","关于","حول"
settings_screen_section_more_header,"More","Mehr","De plus","Di più","Továbbiak","更多的","المزيد"
settings_screen_send_diagnostics_title,"Send diagnostics","Diagnosedaten senden","Envoyer des diagnostics","Invia diagnostica","Diagnosztikai adatok küldése","发送诊断信息","أرسل التشخيص"
settings_screen_send_diagnostics_description,"Help us improve the app by keeping this setting on. The data you send is anonymous.","Helfen Sie uns, die App zu verbessern, indem Sie diese Einstellung aktiviert lassen. Die gesendeten Daten sind anonym.","Aidez-nous à améliorer l'application en gardant ce paramètre activé. Les données que vous envoyez sont anonymes.","Aiutateci a migliorare l'applicazione mantenendo questa impostazione attiva. I dati inviati sono anonimi.","Az alkalmazás fejlesztésében segíteni tud nekünk azzal, ha kapunk diagnosztikai adatokat. Az adatok névtelenek.","通过保持此设置开启，帮助我们改进应用。您发送的数据是匿名的。","ساعدنا في تحسين التطبيق من خلال الحفاظ على هذا الإعداد. البيانات التي ترسلها مجهولة."
account_screen_pin_authenticator_error_alert_title,"Error","Fehler","Erreur","Errore","Hiba","错误","خطأ"
settings_screen_app_version,"<app_name>","<app_name>","<app_name>","<app_name>","<app_name>","<app_name>","<app_name>"
settings_screen_nevis_sdk_version,"Nevis Mobile Authentication SDK","Nevis Mobile Authentication SDK","Nevis Mobile Authentication SDK","Nevis Mobile Authentication SDK","Nevis Mobile Authentication SDK","Nevis手机验证SDK","Nevis Mobile Authentication SDK"
settings_screen_privacy_policy_title,"Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Adatvédelmi szabályzat","隐私条款","سياسة الخصوصية"
settings_screen_help_title,"Help","Hilfe","Aide","Aiuto","Súgó","帮助","مساعدة"
settings_screen_registration_title,"Registration Page","Registrierungsseite öffnen","Ouvrir la page d'inscription","Aprire la pagina di registrazione","Regisztráció","打开注册页面","صفحة التسجيل"
settings_screen_section_device_header,"Device","Gerät","Dispositif","Dispositivo","Eszköz","器材","الجهاز"
settings_screen_section_no_device_information,"No Device Information","Keine Geräteinformation","Aucune information sur le dispositif","Nessuna informazione sul dispositivo","Nincsenek eszközadatok","没有设备信息","لا توجد معلومات عن الجهاز"
settings_screen_reset_all_data,"Reset <app_name>","<app_name> zurücksetzen","Réinitialiser <app_name>","Ripristino di <app_name>","<app_name> alaphelyzetbe állítása","重置<app_name>","إعادة تعيين <app_name>"
settings_screen_reset_data_alert_title,"Erasing Data","Alle Daten löschen","Réinitialiser toutes les données","Ripristina tutti i dati","Adatok törlése","删除所有数据","محو البيانات"
settings_screen_reset_data_alert_message,"This will reset all files and settings for the application","Dadurch werden alle Dateien und Einstellungen für die Anwendung zurückgesetzt.","Toutes les données et préférences de l'application vont êtres supprimées.","Tutti i file e le impostazioni dell'applicazione verranno ripristinati.","Az alkalmazás minden beállítása és adata, beleértve a regisztrált fiókokat is, törlődni fog.","此操作将重置应用内所有的文件及设置","سوف يقوم هذا بإعادة تعيين جميع الملفات والإعدادات للتطبيق"
settings_screen_reset_data_alert_confirm,"Reset All Data","Alle Daten und Einstellungen zurücksetzen","Réinitialiser toutes les données et préférences","Ripristina tutti i dati e le impostazioni","Alaphelyzetbe állítás","重置所有数据","إعادة تعيين جميع البيانات"
settings_screen_reset_data_alert_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
success_screen_action_title,"Continue","Weiter","Démarrer","Avanti","Tovább","继续","استمر"
success_screen_registration_title,"Registration Successful","Registrierung erfolgreich","Enregistrement terminé","Registrazione completata","Sikeres regisztráció","注册成功","تم التسجيل بنجاح"
success_screen_registration_message,"Your app is ready to use","Sie können die App nun verwenden.","Vous pouvez désormais utiliser l'application pour vous identifier.","Ora puoi utilizzare l'applicazione per accedere.","Az alkalmazás használatra kész.","您现在可以开始使用此应用了","التطبيق جاهز للاستخدام"
success_screen_authentication_title,"Authentication Successful","Anmeldung erfolgreich","Authentification réussie","Accesso riuscito","Sikeres azonosítás","验证成功","تم التوثيق بنجاح"
success_screen_deregistration_title,"Account Successfully Removed","Konto wurde erfolgreich entfernt","Compte supprimé avec succès","Account rimosso con successo","Fiók törölve","账户已成功删除","تمت إزالة الحساب بنجاح"
success_screen_pin_change_title,"New PIN has been saved","Ihre neue PIN wurde gespeichert","Votre nouveau code PIN a été enregistré.","Il tuo nuovo PIN è stato salvato","Új PIN-kód beállítva","你的新PIN已被保存","تم حفظ الرقم السري الجديد"
error_screen_title,"Failure","Fehler","Échec","Operazione non riuscita","Nem sikerült","错误","فشل"
error_screen_message,"Unknown error","Wir bitten um Verzeihung, Sie sind auf einen unbekannten Fehler gestossen.","Une erreur inconnue est survenue.","Puoi chiudere l'applicazione e tornare al servizio precedente.","Ismeretlen hiba","抱歉，发生了未知错误。请重新尝试","خطأ غير معروف"
error_screen_action_title,"Close","Schliessen","Fermer","Chiudi","Bezárás","关闭","إغلاق"
error_screen_registration_title,"Registration Failed","Registrierung fehlgeschlagen","Échec de l'enregistrement","Registrazione non riuscita","A regisztráció meghiúsult","注册失败","فشل التسجيل"
error_screen_stopped_registration_title,"Registration Stopped","Registrierung gestoppt","Arrêt de l'enregistrement","Registrazione interrotta","A regisztráció megszakadt","注册已停止","توقف التسجيل"
error_screen_authentication_title,"Authentication Failed","Anmeldung fehlgeschlagen","Échec de l'authentification","Accesso non riuscito","Meghíúsult azonosítás","验证失败","فشل التوثيق"
error_screen_authentication_invalid_number_matching_content_title,"Authentication Failed","Anmeldung fehlgeschlagen","Échec de l'authentification","Accesso non riuscito","Meghíúsult azonosítás","验证失败","فشل التوثيق"
operation_screen_title,"Please wait…","Bitte warten…","Veuillez patienter…","Caricamento…","Kérem, várjon…","请稍等片刻…","يرجى الانتظار …"
outdated_app_screen_title,"Update Available","Ein Update ist verfügbar","Une mise à jour est disponible","È disponibile un nuovo aggiornamento","Frissítés elérhető","有更新可用","التحديث متوفر"
transaction_screen_title,"Authorization","Autorisierung","Autorisation","Autorizzazione","Jóváhagyás","授权","التفويض"
transaction_screen_description,"Confirm the information below to proceed","Bitte bestätigen Sie die folgenden Informationen, um fortzufahren","Veuillez confirmer les informations ci-dessous pour continuer","Si prega di confermare le informazioni qui sotto per procedere","Jóváhagyja az alábbiak végrehajtását?","请确认下面的信息以继续","تأكيد المعلومات أدناه للمتابعة"
transaction_screen_confirm,"Confirm","Bestätigen","Confirmer","Conferma","Jóváhagyás","确认","تأكيد"
transaction_screen_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
confirmation_screen_title,"Confirmation Required","Bestätigung Erforderlich","Confirmation Requise","Conferma richiesta","Megerősítés szükséges","需要确认","التأكيد مطلوب"
confirmation_screen_confirm,"Confirm","Bestätigen","Confirmer","Conferma","Megerősítés","确认","تأكيد"
confirmation_screen_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
number_matching_screen_title,"Verification","Verifizierung","Vérification","Verifica","Ellenőrzés","验证","التحقق"
number_matching_screen_description,"What is the number?","Wie lautet die Nummer?","Quel est ce numéro?","Qual è il numero?","Adja meg a számot?","数字是什么？","ما هو الرقم؟"
number_matching_screen_verify,"Verify","Überprüfen","Vérifier","Verifica","Megerősítés","验证","التحقق"
number_matching_screen_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
error_registration_decrypting_out_of_band_payload,"Could not decrypt the message.\n\nCheck that the device you are using is the one registered for this application.","Die Nachricht konnte nicht entschlüsselt werden.\n\nStellen Sie sicher, dass sie das gleiche Gerät verwenden welches Sie für die Registrierung benutzt haben.","Impossible de décrypter le contenu du message. \n\nVeuillez vérifier que le dispositif que vous utilisez est bien celui qui est enregistré pour cette application.","Non è stato possibile decodificare il contenuto del messaggio.\n\nVerificare che il dispositivo utilizzato sia quello registrato per questa applicazione.","A kapott információ nem dekódolható.\n\nEllenőrizze, hogy azt a készüléket használja-e, ami regisztrálva lett-e az alkalmazáshoz.","无法解密消息的内容。\n\n请检查您使用的设备是否已为此应用程序注册。","تعذر فك تشفير الرسالة. \n\n تحقق من أن الجهاز الذي تستخدمه هو الذي تم تسجيله لهذا التطبيق."
error_registration_access_denied,"You are not authorized to register","Sie sind nicht berechtigt sich zu registrieren.","Vous n'êtes pas autorisé à vous enregistrer.","Non ti è permesso registrarti.","Nem jogosult a regisztrációra.","您未被允许注册","ليس لديك الإذن للتسجيل"
error_registration_key_disappeared,"Security data was deleted.\nRegister again.","Die Sicherheitsdaten wurden gelöscht.\nBitte melden Sie sich erneut an.","Les données de sécurité ont été effacées.\nVeuillez vous enregistrer à nouveau.","I dati sulla sicurezza sono stati eliminati.\nPer favore registrati di nuovo.","Adatai törlődtek.\nRegisztráljon újra.","安全数据已经被删除\n请重新注册","تم حذف بيانات الأمان. \n سجل مرة أخرى."
error_registration_user_lockout,"For security reasons, you were locked out. Define a new PIN to be able to register again.","Aus Sicherheitsgründen wurden Sie ausgesperrt. Sie müssen eine neue PIN definieren, bevor Sie sich erneut registrieren können.","Pour des raisons de sécurité, son authentificateur a été bloqué. Vous devez définir un nouveau code PIN avant de pouvoir vous enregistrer à nouveau.","Per ragioni di sicurezza, il suo autenticatore è stato bloccato. È necessario definire un nuovo PIN prima di potersi registrare di nuovo.","Biztonsági okokból fiókja zárolva lett. Adjon meg új PIN-kódot, hogy regisztrálhasson ismét.","出于安全考虑，您的账户已经被锁定。您需要设置新的识别码再进行注册","لأسباب أمنية، تم حظرك. حدد رقم PIN جديد للتمكن من التسجيل مرة أخرى."
error_registration_user_not_responsive,"The registration timed out, try again","Zeitüberschreitung während der Registrierung, bitte versuchen Sie es erneut.","Veuillez réessayer et terminer l'enregistrement plus rapidement.","Per favore riprova e completa la registrazione più velocemente.","Időtúllépés regisztráció közben. Próbálja meg újra.","注册超时，请重新尝试","انتهت صلاحية التسجيل، حاول مرة أخرى"
error_registration_user_lockout_with_system_authenticator,"For security reasons, you were locked out.\n\nUnlock your authentication method in the System Settings.","Aus Sicherheitsgründen wurden Sie ausgesperrt.\n\nUm Ihren Authentifikator zu entsperren, gehen Sie bitte zu den Systemeinstellungen.","Pour des raisons de sécurité, son authentificateur a été bloqué.\n\nPour déverrouiller votre méthode d'authentification, rendez-vous dans les préférences du système.","Per ragioni di sicurezza, il suo autenticatore è stato bloccato.\n\nPer sbloccare il vostro autenticatore andate nelle Impostazioni di sistema.","Biztonsági okokból fiókja zárolva lett. A készülék rendszerbeállításaiban oldja fel a használt azonosítási módszert.","出于安全考虑，您的账户已经被锁定\n\n请到系统设置中解锁验证人","لأسباب أمنية، تم حظرك. \n\n قم بفتح طريقة المصادقة الخاصة بك في إعدادات النظام الخاص بالهاتف."
error_registration_networking,"Your device is experiencing network issues.\nTry again later.","Es treten Netzwerkprobleme auf.\nBitte versuchen Sie es später erneut, wenn Sie eine bessere Netzverbindung haben.","Vous avez des problèmes de réseau.\nVeuillez essayer à nouveau lorsque vous aurez une meilleure connexion.","Ci sono problemi di rete.\nPer favore riprova più tardi quando la connessione dati sarà migliore.","Hálózati probléma.\nPróbálja újra később.","您的手机存在网络问题\n请在网络畅通时重新尝试","هاتفك يواجه مشكلات في الشبكة. \n حاول مرة أخرى لاحقا."
error_registration_token_already_redeemed,"You tried to authenticate twice using the same push notification or QR code.\nTry again by requesting a new QR code or push notification.","Sie haben versucht sich zwei mal mit der gleichen Push Nachricht oder dem gleichen QR-Code zu authentisieren.\n\nBitte versuchen Sie eine neue Push Nachricht oder einen neuen QR Code anzufordern.","Vous avez essayé de vous authentifier deux fois en utilisant la même notification push ou le même code QR.\nVeuillez réessayer en demandant un nouveau code QR ou une  nouvelle notification push.","Hai provato ad effettuare l'autenticazione due volte utilizzando la stessa notifica push o lo stesso codice QR.\n\nSi prega di provare di nuovo richiedendo un nuovo codice QR o notifica push.","Kétszer próbáltkozott ugyanazzal az értesítéssel vagy QR-kóddal.\nPróbálkozzon újra egy új QR-kóddal vagy értesítéssel.","您尝试使用同一推送通知或QR码进行了两次身份验证。\n请再试一次，请求新的QR码或推送通知。","حاولت المصادقة مرتين باستخدام نفس الإشعار المنبثق أو الرمز المرئي (QR). \n حاول مرة أخرى عن طريق طلب رمز QR جديد أو إشعار منبثق جديد."
error_registration_fingerprint_not_enrolled,"Before using the fingerprint authenticator, enroll your fingerprint in the System Settings","Ihr Fingerabdruck muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Fingerabdruck authentisieren können.","Avant d'utiliser l'authentificateur d'empreintes digitales, vous devez définir votre empreinte digitale dans les préférences du système.","Prima di utilizzare il fingerprint authenticator, è necessario impostare la propria impronta digitale nelle impostazioni di sistema.","Az ujjlenyomatos azonosítás mód használatához először regisztrálnia kell az ujjlenyomatát a redszerbeállításokban.","在使用指纹认证器之前，您必须在系统设置中定义您的指纹。","قبل استخدام طريقة التوثيق بالبصمة، قم بتسجيل بصمتك في إعدادات النظام للهاتف"
error_registration_key_disappeared_fingerprint,"Your fingerprint authentication method is not available because the fingerprint was disabled or modified in the System Settings. Please contact support.","Sie können sich nicht mit Fingerabdruck authentisieren da der Fingerabdruck in den Systemeinstellungen entweder entfernt oder angepasst worden ist. Bitte kontaktieren Sie Support um die Applikation wieder verwenden zu können.","Votre authentificateur d'empreintes digitales n'est pas disponible parce que l'empreinte digitale a été désactivée ou modifiée dans les préférences du système. Pour pouvoir utiliser à nouveau l'application, veuillez contacter le support.","Il vostro fingerprint authenticator non è disponibile perché è stato disattivato o modificato nelle impostazioni di sistema. Per poter utilizzare nuovamente l'applicazione si prega di contattare il supporto tecnico.","Az ujjlenyomatos azonosítás nem elérhető, mert az ujjlenyomatot megváltoztatták vagy törölték. Ha segítségre van szüksége, vegye fel velünk a kapcsolatot az ügyfélszolgálattal.","由于在系统设置中禁用或修改了指纹，因此您的指纹认证器无法使用。为了能再次使用该应用程序，请联系支持人员。","طريقة التوثيق بواسطة البصمة غير متاحة لأنه تم تعطيل البصمة أو تم تعديلها في إعدادات النظام. الرجاء الاتصال بالدعم."
error_registration_key_disappeared_biometric,"Your biometric authentication method is not available because the biometric credentials were disabled or modified in the System Settings. Please contact support.","Sie können sich nicht mit biometrische Zugangsdaten authentisieren da die biometrische Daten in den Systemeinstellungen entweder entfernt oder angepasst worden ist. Bitte kontaktieren Sie Support um die Applikation wieder verwenden zu können.","Votre authentificateur biométrique n'est pas disponible parce que les données biométriques ont été éffacées ou modifiées dans les préférences du système. Pour pouvoir utiliser à nouveau l'application, veuillez contacter le support.","Il vostro authenticator biometrico non è disponibile perché le credenziali biometriche sono state rimosse o modificat nelle impostazioni di sistema. Per poter utilizzare nuovamente l'applicazione si prega di contattare il supporto tecnico.","A biometrikus azonosítás nem használható, mert a biometrikus adatok módosultak. Vegye fel a kapcsolatot az ügyfélszolgálattal.","由于在系统设置中禁用或修改了生物识别凭证，因此您的生物识别验证方法不可用。请联系支持。","طريقة التوثيق البيومترية غير متاحة لأن البيانات البيومترية تم تعطيلها أو تم تعديلها في إعدادات النظام. يرجى الات"
error_registration_untrusted_facet_id,"Error validating the facet ID of the server. Please contact support.","Bei der Überprüfung der Facet ID ist ein Fehler aufgetreten. Bitte kontaktieren Sie Support sollte das Problem bestehen.","Erreur de validation de la facet ID du serveur. Veuillez contacter le support si le problème persiste.","Errore nella convalida del facet ID del server. Contattare il supporto se il problema persiste.","A kiszolgáló Facet ID ellenőrzése meghiúsult. Vegye fel a kapcsolatot az ügyfélszolgálattal.","验证服务器的面部ID时出错。如果问题仍然存在，请联系支持人员。","خطأ في التحقق من صحة معرف الجانب من الخادم. يرجى الاتصال بالدعم."
error_registration_generic,"A technical error occurred, try again","Ein technischer Fehler ist aufgetreten.\nBitte versuchen Sie es erneut.","Une erreur technique est survenue.\nVeuillez réessayer.","Si è verificato un errore tecnico.\nPer favore prova di nuovo.","Technikai hiba történt. Próbálja meg újra.","出现技术问题\n请重新尝试","حدث خطأ تقني، حاول مرة أخرى"
error_registration_denied_multiple_registration,"You have already registered all the available authentication methods for this account.","Sie haben bereits alle verfügbaren Authentifizierungsmethoden für dieses Konto registriert.","Vous avez déjà enregistré toutes les méthodes d'authentification disponibles pour ce compte.","Hai già registrato tutti i metodi di autenticazione disponibili per questo account.","Minden elérhető azonosítási mód be lett állítva már ehhez a fiókhoz.","您已经为此帐户注册了所有可用的认证方法。","لقد سجلت بالفعل كل طرق التوثيق المتاحة لهذا الحساب."
error_registration_denied_multiple_account,"You are trying to register a new account. Only one account is supported.","Sie versuchen, ein neues Konto zu registrieren. Es wird nur ein Konto unterstützt.","Vous essayez d'enregistrer un nouveau compte. Un seul compte est supporté.","Stai cercando di registrare un nuovo account. È supportato un solo account.","Újabb fiókot próbált regisztrálni. Csak egy fiók használata támogatott.","您正在尝试注册新账户。只支持一个账户。","أنت تحاول تسجيل حساب جديد. يتم دعم حساب واحد فقط."
